"","Estimate","Std. Error","z value","Pr(>|z|)"
"X349",0.0523508856258812,0.0548138193751325,0.955067284540134,0.339543671995867
"X124",0.048598853115669,0.0618040528953657,0.786337640315384,0.431669706384406
"X282",0.0148066560524553,0.0907188438611332,0.163214779005786,0.870349330274515
"X294",-0.032071998062429,0.0900460589284385,-0.35617325670985,0.72171081847035
"X549",-0.00942678580329206,0.0555807504089104,-0.169605227240343,0.865320611371045
"X155",-0.0416583544847426,0.0538866313013209,-0.773074016295418,0.439478577705308
"X77",0.0234360178682124,0.0585706950947327,0.400132145099299,0.689059189163413
"X134",-0.0526695914939838,0.175349009648828,-0.300370053982429,0.763894903136203
"X571",-0.0446206638983532,0.0571626894273099,-0.780590702526241,0.435043261829741
"X271",0.00470269840929373,0.0543921515584375,0.0864591356391056,0.931101439421401
"X453",-0.0735162518611075,0.0639743686548399,-1.14915165881118,0.250493450165954
"X333",0.336410157072657,0.191755385203021,1.75437136598006,0.0793668944546294
"X572",0.0282126467061703,0.106825067447785,0.26410137040129,0.791701807944825
"X214",-0.286828413123211,0.263690658435903,-1.08774582620617,0.276707331118488
"X517",-0.120432769142162,0.272983287341993,-0.441172682455407,0.659087988152847
"X444",-1.32822483813705,1.70025383993146,-0.781192082583737,0.434689529651605
"X307",0.0393989561107354,0.0663080422654607,0.59418065689534,0.552391288772239
"X60",-0.0328368786095826,0.0665424613578928,-0.493472557814961,0.621678725343509
"X521",0.0285381443202019,0.0694054385674219,0.411180231826924,0.680940382400769
"X175",0.0399631000064778,0.0605791575519633,0.659683984086416,0.509456646625582
"X132",-0.0316801095068408,0.0639460632033299,-0.495419231768924,0.620304222072693
"X338",-0.518656071666671,0.328153803940162,-1.58052737904951,0.113986141920046
"X386",-0.101412235571186,0.107328532414268,-0.944876756348013,0.344721799398739
"X212",-0.0264729617649356,0.0578262464222656,-0.457801835720437,0.647094816834539
"X227",0.0993728347841093,0.0820124134778062,1.21168040995405,0.225634740861543
"X173",1.25799042835529,1.62544514224005,0.773935948783626,0.438968669559333
"X119",-0.00369798134571789,0.0562426138738688,-0.0657505242201418,0.947576446896945
"X104",-0.0592819126872369,0.0547807352013055,-1.08216716094427,0.27917825748617
"X382",-0.0748306978357331,0.457560431848917,-0.163542764249426,0.870091105364362
"X541",-0.00984322059338716,0.718264082955206,-0.0137041804358203,0.989065988255754
"X275",0.737496241356674,7.82267457297142,0.0942767380231871,0.924889327968093
"X431",0.0833509438586177,0.106333147015813,0.783866049278337,0.433118712935124
"X269",0.04331201884937,0.721152983731702,0.0600594046290237,0.95210832197952
"X21",0.0859416402176306,0.072256905148766,1.18938999727002,0.234286235153867
"X279",-0.0104082038464461,0.0558629006054392,-0.186316924714659,0.852196235840157
"X331",0.0352070765494064,0.0587201445717804,0.599574078132059,0.548790127055321
"X448",-0.0311222644270355,0.0677188929150845,-0.459580230675964,0.645817551853272
"X588",0.0261341757020533,0.0772279305662158,0.338403159458554,0.735059393531396
"X35",-0.165220525735471,0.195275323173233,-0.846090141092229,0.397502460185456
"X291",3.97286258281424e-05,0.0517282911906432,0.000768025096396934,0.99938720469352
"X28",-0.0940490842377964,0.0636987293327175,-1.4764671952332,0.139818515498393
"X389",-0.0596665426093987,0.0737551161291811,-0.808981745820772,0.41852564621344
"X589",-0.0193365140795994,0.0590106666058687,-0.327678285838519,0.743154923113776
"X54",0.0387284584833971,0.154160808362118,0.251221168952522,0.801643118810863
"X102",-0.0550390175784972,0.0652682727757894,-0.843273695438028,0.399075390724439
"X100",0.0774531885102077,0.0564037098481369,1.37319315908023,0.169692305821239
"X0",-0.0144534802539414,0.0538677270875926,-0.268314277126247,0.788457417459843
"X40",-0.019659692632558,0.0544089578500073,-0.361331909476288,0.717851342455039
"X15",0.0132318590996331,0.0598314671442498,0.221152175121027,0.824973945972544
"X391",-0.0041316087561233,0.054730956113104,-0.0754894313847749,0.939825306076955
"X116",-0.0305479191552611,0.0628058231323462,-0.486386733454471,0.626692994844236
"X476",-0.0341477869444366,0.0631346689530376,-0.540872194480616,0.588595677418022
"X492",-0.00485968818920297,0.0618589921557658,-0.0785607398349765,0.937382016054771
"X216",0.0427012080391827,0.0558292144686668,0.764854179761889,0.444358381081027
"X474",0.0449921639952107,0.1063730562885,0.422965791950034,0.672320219506604
"X113",0.00126051127293337,0.0618704063886923,0.0203734118863611,0.983745493688445
"X543",-0.0591543554356731,0.0684933975961154,-0.863650475984389,0.387779926753687
"X367",-0.0935823672954111,0.0822199996765288,-1.13819469306232,0.255039194193943
"X519",0.0448026346292896,0.0569078429555303,0.787284006956649,0.431115629719733
"X184",0.0393757522802097,0.0817083701554039,0.481905981055791,0.629872737086866
"X342",0.298835138971597,0.237058746577403,1.26059528824018,0.20745469710688
"X577",-0.0637704979456891,0.107830311235568,-0.591396771603257,0.554254603003909
"X120",-0.027277755350092,0.055900198288179,-0.487972425598002,0.625569372624288
"X76",-0.0249424371492899,0.057411253674603,-0.434452055178228,0.663960203770811
"X4",-0.79390351075788,7.84733927695384,-0.10116849580971,0.919416705077361
"X201",0.178030451700735,0.118558609731569,1.50162398246587,0.133194246066567
"X479",0.0529602560511251,0.168784558514429,0.313774296163459,0.753692467863039
"X10",0.023265878412498,0.0551630099606232,0.421765933894939,0.67319587319365
"X387",0.127925193587998,0.113593463120424,1.12616685920017,0.260094898360104
"X447",-1.20554876784387,3.89724091534572,-0.309333909304122,0.757067539092816
"X289",-0.0128964929274205,0.0902322781158189,-0.142925494032933,0.886349023946511
"X377",-0.0229151285339063,0.0549359050765585,-0.417124802112059,0.676587124447093
"X335",-0.155217199478163,0.156578724289536,-0.991304535034686,0.321536899222633
"X94",-0.0456096010478554,0.188451378603313,-0.242023175345736,0.80876220563949
"X296",-0.0174765863017049,0.0529521962733727,-0.330044597422922,0.741366264493568
"X163",-0.0105977429095922,0.107404068707694,-0.0986717080377513,0.921398932932032
"X151",-0.0266829102984569,0.0656096382269357,-0.406691928496297,0.684234269453893
"X185",0.00299929498068146,0.0817425671780915,0.0366919597001026,0.970730619557693
"X176",1.17434128216809,3.89383178496998,0.301590142312002,0.76296452358952
"X488",-0.0723124070914158,0.0560034205989291,-1.29121411367502,0.196629442420289
"X45",0.0250889292661754,0.0591462249960772,0.424184794005694,0.671431049546939
"X2",-0.0104459437427575,0.0540630846643196,-0.193217679080225,0.84678849371221
"X157",-0.037557926319469,0.0559093144660403,-0.67176510172168,0.501733248913482
"X352",0.253167921291826,0.264214961183773,0.958189196242136,0.337967364069788
"X560",0.0294444859579059,0.0537703903513874,0.547596656179866,0.583968885933286
"X494",0.0430458066509992,0.0587220183567569,0.733043717766661,0.463531765705103
"X80",-0.00595296829973589,0.0592295125461006,-0.100506792033827,0.919941990880511
"X115",-0.0422280306201792,0.0544781455363824,-0.775137079362913,0.438258663319051
"X270",-0.0338118559160053,0.0543640612549148,-0.62195235483715,0.533973197586905
"X496",-0.00181192066503109,0.0540271979787977,-0.0335371948355005,0.973246205314602
"X53",-0.0539540173683593,0.15475099565512,-0.34865053462145,0.727351684259428
"X547",0.00667471183394347,0.0551200403982082,0.121094102720586,0.903616500150504
"X306",0.00956825989222406,0.0543378583782438,0.176088277635452,0.860224590121537
"X413",0.0526230639449318,0.162243369060722,0.32434646944022,0.745675742038908
"X96",-0.0062423828163145,0.18957459228689,-0.032928372631643,0.973731706971439
"X580",0.0109347307047833,0.0736593394561946,0.148450023927872,0.881987623984618
"X91",-0.0233004520480816,0.066608934365509,-0.349809710514554,0.726481510988693
"X518",0.185611632649926,0.491276586453056,0.377814937182361,0.705568076517538
"X223",-0.00031555782461272,0.057839331576317,-0.00545576541105687,0.995646950606192
"X511",0.055143714082485,0.053548428689524,1.02979145106592,0.303107914701854
